43772733;5000029/10/2021 - 10:37:26
43772733;50000;29/10/2021 - 10:37:53
23673477;21000;29/10/2021 - 10:52:15
16377115;10000;29/10/2021 - 11:29:47
16377115;10000;29/10/2021 - 11:35:16
16377115;10000;29/10/2021 - 11:36:13
16377115;10000;29/10/2021 - 11:36:18
16377115;10000;29/10/2021 - 11:36:57
16377115;10000;29/10/2021 - 11:37:02
16377115;10000;29/10/2021 - 11:37:28
16377115;10000;29/10/2021 - 11:38:09
16377115;10000;29/10/2021 - 11:38:44
16377115;10000;29/10/2021 - 11:38:57
16377115;10000;29/10/2021 - 11:39:03
16377115;10000;29/10/2021 - 11:39:42
32438545;32234;29/10/2021 - 11:40:05
32438545;32234;29/10/2021 - 11:41:36
32438545;32234;29/10/2021 - 11:41:52
32438545;32234;29/10/2021 - 11:41:59
32438545;32234;29/10/2021 - 11:42:16
32438545;32234;29/10/2021 - 11:42:20
32438545;32234;29/10/2021 - 11:42:40
32438545;32234;29/10/2021 - 11:42:44
32438545;32234;29/10/2021 - 11:42:48
32438545;32234;29/10/2021 - 11:42:58
32438545;32234;29/10/2021 - 11:43:09
32438545;32234;29/10/2021 - 11:43:23
11000111;35000;29/10/2021 - 11:46:01
22000222;35000;29-10-2021  12:08:48
22000222;35000;29-10-2021  12:09:42
32242344;3434;29-10-2021  12:11:15
43772733;6785876;29-10-2021  12:13:31
43772733;45000;13-12-2021  11:48:03
16377115;23000;13-12-2021  11:51:06
12345678;23000;13-12-2021  11:53:21
